Genre,Count
boxcar children (fictitious characters),13
secrecy,13
nursery rhymes,13
scientists,13
squirrels,13
festivals,13
audiobooks,13
reptiles,13
aunts,13
world records,13
1564-1616,13
study guides,13
stanley lambchop (fictitious character),13
teens,13
baseball stories,13
foxes,13
novelas inglesas,13
sunny baudelaire (fictitious character),13
mother-daughter relationship,13
livres en gros caractères,13
epic,13
belletristische darstellung,13
russian,13
grade:min:4,13
teaching,13
sign language,13
sociology,13
success,13
practical jokes,13
shakespeare,13
treatment,13
women sleuths,13
study and teaching (kindergarten),13
school superintendents and principals,13
inuits,13
painters,13
mental illness,13
mammals,12
dolls,12
librarians,12
in literature,12
native peoples,12
cabañas en los árboles,12
hair,12
costume,12
reading (elementary),12
bicycles and bicycling,12
recits,12
eggs,12
rome,12
souris,12
fowl,12
photography,12
engineering,12
marine ecology,12
campamentos,12
pumpkin,12
butterflies,12
inventions,12
teamwork (sports),12
wishes,12
science and nature,12
plot-your-own stories,12
lizards,12
dysfunctional families,12
helping behavior,12
latin language,12
continental european drama (dramatic works by one author),12
dance,12
eccentrics and eccentricities,12
espacio y tiempo,12
ying yu,12
automobile travel,12
childrens songs,12
candy,12
artemis (fictitious character),12
artemis fowl (fictitious character),12
dinosaures,12
adoption,12
orphans and foster homes,12
holmes,12
superintendentes y directores,12
the,12
jellyfishes,12
rescue work,12
award:theodor_seuss_geisel_award,12
récits humoristiques anglais,12
hunger,12
modern,12
polish language materials,12
exhibitions,12
kittens,12
florida,12
home,12
childrens audiobooks,12
patos,12
series:a_narwhal_and_jelly_book,12
badgers,12
apprentices,12
penguins,12
letters,12
early works to 1800,12
darren shan (fictitious character),12
frères et sœurs,12
zhang pian xiao shuo,12
truthfulness and falsehood,12
freak shows,12
moral and ethical aspects,12
paranormal,12
homosexuality,12
grade:min:kindergarten and up,12
film adaptations,12
flies,12
wilderness areas,11
english poetry,11
porcs,11
reading (primary),11
handicraft,11
comic and graphic books,11
geology,11
romans pour la jeunesse,11
money-making projects for children,11
americans,11
christianity,11
geschichte,11
coloring books,11
weddings,11
kinderbuch,11
clergy,11
african american women,11
geographical myths,11
ungeheuer,11
animal rescue,11
araignées,11
human-alien encounters,11
self-esteem and self-reliance,11
circus,11
geese,11
aventures,11
anger,11
frustration,11
ireland,11
for national curriculum key stage 2,11
characters in literature,11
cuentos de terror,11
translations into spanish,11
inheritance and succession,11
trials,11
home economics,11
newbery medal book,11
wildlife conservation,11
self-help techniques,11
escapes,11
unicorns and mythical,11
haunted places,11
femmes,11
hats,11
identification,11
franklin (fictitious character),11
relations enfants-enfants,11
exploration,11
violet baudelaire (fictitious character),11
conducta (ética),11
community life,11
british and irish drama (dramatic works by one author),11
ancient history,11
collectionid:texchallenge2021,11
massachusetts,11
sauvetages,11
mères et filles,11
design and construction,11
klaus baudelaire (fictitious character),11
maturation (psychology),11
clifford (fictitious character : bridwell),11
cancer,11
nyt:middle-grade-paperback-monthly=2019-10-13,11
shipwreck survival,11
mysteries and detective stories,11
vikings,11
lexile_code:ad,11
roman anglais,11
cuentos en rima,11
héros,11
leadership,11
percy jackson,11
mummies,11
high interest-low vocabulary books,11
runaways,11
animals in art,11
hunting,11
tłumaczenia polskie,11
readers for new literates,11
school,11
facsimiles,11
novela estadounidense,11
nyt:series_books=2008-06-22,11
force and energy,11
grade:max:3,11
lexile:740,11
tigers,11
eskimos,11
mermaids,11
văn học mĩ,10
murry family (fictitious characters),10
friendship in adolesce,10
murry family (fictitious character),10
viaje en el tiempo,10
poopnce,10
morality,10
student activities,10
form,10
problems,10
women authors,10
tiểu thuyết,10
suo xie ben,10
lego toys,10
etc.),10
sherlock (fictitious character),10
winnie-the-pooh (fictitious character),10
slaves,10
kids,10
waisenkind,10
mississippi,10
movies,10
irish,10
nyt:series_books=2006-09-16,10
graphic novel,10
metamorphosis,10
gerald (fictitious character : willems),10
greek,10
collectionid:ac,10
pakistan,10
cooperation,10
size,10
alex cross (fictitious character),10
juvenile drama,10
christian life,10
skönlitteratur,10
chats,10
narwhal,10
ballet,10
forest animals,10
textbooks,10
new jersey,10
australia,10
martial arts,10
cross,10
korean,10
crime and mystery,10
indigenous peoples,10
aeronautics,10
english adventure stories,10
agriculture,10
campaigns,10
generosity,10
japanese,10
obedience,10
personal,10
recits humoristiques anglais,10
child abuse,10
conejos,10
school life,10
children - harry potter,10
école de sorcellerie (organisation imaginaire),10
lehrling,10
modern history to 20th century: c 1700 to c 1900,10
whaling,10
lions,10
occultism,10
han yu,10
dui zhao du wu,10
flight,10
age:max:11,10
self-realization,10
titanic (navire à vapeur),10
science projects,10
family relationships,10
english (ie as school subject),10
literatura juvenil estadounidense,10
places and cultures,10
widowers,10
ghost,10
custody of children,10
hechicería,10
novelas juveniles inglesas,10
ingleterra,10
literary theory,10
earth sciences,10
thieves,10
juvenile films,10
video games,10
congresses,10
lexile:810,10
cooperativeness,10
poudlard,10
translating into welsh,10
novelas fantásticas,10
cleverness,10
stein der weisen,10
wizard,10
challenges and overcoming obstacles,10
magic and supernatural,10
cows,10
goblins,10
birthday parties,10
basketball players,10
underground railroad,10
loyalty,10
lexile_range:401-500,10
libros de juguete y movibles,10
italian language materials,10
muestras,10
contes de fées,10
buses,10
familia,10
stuart little (fictitious character),10
vida agrícola,10
award winning books,10
exercises,10
forests and forestry,10
age:max:14,10
performing arts,10
pet shops,10
accidents,10
poésie enfantine canadienne-anglaise,10
first loves,10
nyt:advice-how-to-and-miscellaneous=2013-10-20,10
a wrinkle in time,10
spanish: young adult (gr. 10-12),10
ability,9
residential schools,9
age:max:10,9
relations humaines chez lenfant,9
fées,9
secuestro,9
mères et fils,9
architecture,9
animal babies,9
jeugdboeken ; verhalen,9
hadas,9
ants,9
human geography,9
revolutionaries,9
18.06 anglo-american literature,9
elefantes,9
legal,9
autumn,9
age:max:5,9
health,9
français (langue),9
fear of the dark,9
singing,9
farces et attrapes,9
biographical,9
yo-yos,9
yoyos,9
determination (trait de personnalite),9
jigsaw (fictitious character),9
sick children,9
satire,9
political corruption,9
gatos,9
politique et gouvernement,9
titans (mythology),9
quests,9
englisch,9
astronautics,9
films,9
baking,9
mood (psychology),9
traducciones al español,9
native americans,9
chemistry,9
motion picture music,9
children and death,9
death and dying,9
livres illustrés pour enfants,9
libros de caricaturas,9
mate selection,9
parques zoológicos,9
animales zoológicos,9
spanish language books,9
industries,9
words,9
rhyming,9
rock music,9
triangles (interpersonal relations),9
railroad trains,9
morale pratique,9
arañas,9
spanish stories,9
imagination and play,9
evolution,9
american farm life,9
exploitations agricoles,9
